african_iso3,northern_iso3,year,level,not_yet_country
AGO,GRC,1970,0.0,False
AGO,GRC,1971,0.0,False
AGO,GRC,1972,0.0,False
AGO,GRC,1973,0.0,False
AGO,GRC,1974,0.0,False
AGO,GRC,1975,0.0,False
AGO,GRC,1976,0.0,False
AGO,GRC,1977,0.0,False
AGO,GRC,1978,0.0,False
AGO,GRC,1979,0.0,False
AGO,GRC,1980,0.0,False
AGO,GRC,1981,1.0,False
AGO,GRC,1982,1.0,False
AGO,GRC,1983,1.0,False
AGO,GRC,1984,1.0,False
AGO,GRC,1985,1.0,False
AGO,GRC,1986,1.0,False
AGO,GRC,1987,1.0,False
AGO,GRC,1988,1.0,False
AGO,GRC,1989,1.0,False
AGO,GRC,1990,1.0,False
AGO,GRC,1991,1.0,False
AGO,GRC,1992,1.0,False
AGO,GRC,1993,1.0,False
AGO,GRC,1994,1.0,False
AGO,GRC,1995,1.0,False
AGO,GRC,1996,1.0,False
AGO,GRC,1997,1.0,False
AGO,GRC,1998,1.0,False
AGO,GRC,1999,1.0,False
AGO,GRC,2000,1.0,False
AGO,GRC,2001,1.0,False
AGO,GRC,2002,1.0,False
AGO,GRC,2003,1.0,False
AGO,GRC,2004,1.0,False
AGO,GRC,2005,1.0,False
AGO,GRC,2006,1.0,False
AGO,GRC,2007,1.0,False
AGO,GRC,2008,1.0,False
AGO,GRC,2009,1.0,False
AGO,GRC,2010,1.0,False
AGO,GRC,2011,1.0,False
AGO,GRC,2012,1.0,False
AGO,GRC,2013,1.0,False
AGO,GRC,2014,1.0,False
AGO,GRC,2015,1.0,False
AGO,GRC,2016,1.0,False
AGO,GRC,2017,1.0,False
AGO,HKG,1950,0.0,False
AGO,HKG,1951,0.0,False
AGO,HKG,1952,0.0,False
AGO,HKG,1953,0.0,False
AGO,HKG,1954,0.0,False
AGO,HKG,1955,0.0,False
AGO,HKG,1956,0.0,False
AGO,HKG,1957,0.0,False
AGO,HKG,1958,0.0,False
AGO,HKG,1959,0.0,False
AGO,HKG,1960,0.0,False
AGO,HKG,1961,0.0,False
AGO,HKG,1962,0.0,False
AGO,HKG,1963,0.0,False
AGO,HKG,1964,0.0,False
AGO,HKG,1965,0.0,False
AGO,HKG,1966,0.0,False
AGO,HKG,1967,0.0,False
AGO,HKG,1968,0.0,False
AGO,HKG,1969,0.0,False
AGO,HKG,1970,0.0,False
AGO,HKG,1971,0.0,False
AGO,HKG,1972,0.0,False
AGO,HKG,1973,0.0,False
AGO,HKG,1974,0.0,False
