iso3,year0,year1,broad_sector,employment_share_0,employment_share_1,productivity_0,productivity_1,contribution_productivity_0,contribution_productivity_1,within,structural_change,short_series,country_productivity_0,country_productivity_1,country_actual_change,country_decomposed_change,country,country_exists_pre,depth_score_pre,agreement_type_pre,reciprocal_pre,fta_or_deeper_pre,nonreciprocal_only_pre,reciprocal_trade_share_pre,reciprocal_gdp_share_pre,gdp_african_pre,gdpcap_african_pre,pop_african_pre,wto_african_pre,gatt_african_pre,reciprocal_post,country_exists_post,treatment_status,reciprocal_interval
BFA,2002,2005,Agriculture,0.8384991161482117,0.8124062103093621,261.3770754681069,300.3840770554704,219.16444676141208,244.03388967791008,0.149236506367304,-0.0357626136625647,False,547.7163972617798,632.2321417059118,0.1543056677993481,0.1543056677993483,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,3205592.32,0.261,12296.399,1.0,1.0,0.0,True,never_reciprocal,0
BFA,2002,2005,Manufacturing,0.0452263591120412,0.051307706320657,2109.0411639643185,2244.0501984108105,95.3842546977776,115.13707095066744,0.0557369599813261,0.1513497999401733,False,547.7163972617798,632.2321417059118,0.1543056677993481,0.1543056677993483,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,3205592.32,0.261,12296.399,1.0,1.0,0.0,True,never_reciprocal,0
BFA,2002,2005,Services,0.116274524739747,0.1362860833699808,2005.3206541892316,2003.5881604839983,233.1676958025901,273.0611810773343,-0.0264382864989639,0.1975318212934228,False,547.7163972617798,632.2321417059118,0.1543056677993481,0.1543056677993483,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,3205592.32,0.261,12296.399,1.0,1.0,0.0,True,never_reciprocal,0
BFA,2005,2008,Agriculture,0.8124062103093621,0.7483631313421528,300.3840770554704,365.1405854096086,244.03388967791008,273.2577518772415,0.2155790313152318,-0.0958257370580172,False,632.2321417059118,702.1650512287837,0.1106127083861576,0.1106127083861575,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,5462709.248,0.407,13421.929,1.0,1.0,0.0,True,never_reciprocal,0
BFA,2005,2008,Manufacturing,0.051307706320657,0.0769000389424816,2244.0501984108105,1554.449025612451,115.13707095066744,119.53719508377404,-0.3083533920298875,0.3465697900741968,False,632.2321417059118,702.1650512287837,0.1106127083861576,0.1106127083861575,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,5462709.248,0.407,13421.929,1.0,1.0,0.0,True,never_reciprocal,0
BFA,2005,2008,Services,0.1362860833699808,0.1747368297153655,2003.5881604839983,1770.491724565577,273.0611810773343,309.37010426776817,-0.0992987273211883,0.2322686465428837,False,632.2321417059118,702.1650512287837,0.1106127083861576,0.1106127083861575,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,5462709.248,0.407,13421.929,1.0,1.0,0.0,True,never_reciprocal,0
BFA,2008,2011,Agriculture,0.7483631313421528,0.6423040202610689,365.1405854096086,359.5801012744018,273.2577518772415,230.95974465443055,-0.0152283376797711,-0.1395632718252829,False,702.1650512287837,722.1373097872554,0.0284438231773575,0.0284438231773574,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,8350710.272,0.57,14659.646,1.0,1.0,0.0,True,never_reciprocal,0
BFA,2008,2011,Manufacturing,0.0769000389424816,0.1320052124100613,1554.449025612451,1373.4001402442389,119.53719508377404,181.29598243086687,-0.1896025130523115,0.7062516389064947,False,702.1650512287837,722.1373097872554,0.0284438231773575,0.0284438231773574,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,8350710.272,0.57,14659.646,1.0,1.0,0.0,True,never_reciprocal,0
BFA,2008,2011,Services,0.1747368297153655,0.2256907673288698,1770.491724565577,1373.0361404347957,309.37010426776817,309.88158270195794,-0.1901659438221333,0.1918192336104287,False,702.1650512287837,722.1373097872554,0.0284438231773575,0.0284438231773574,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,8350710.272,0.57,14659.646,1.0,1.0,0.0,True,never_reciprocal,0
BFA,2011,2014,Agriculture,0.6423040202610689,0.5051772028059692,359.5801012744018,411.11136472612776,230.95974465443055,207.6840892740898,0.1433095526395705,-0.2440875276722608,False,722.1373097872554,665.9654285010874,-0.077785596346928,-0.077785596346928,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,10395757.568,0.65,15995.313,1.0,1.0,0.0,True,never_reciprocal,0
BFA,2011,2014,Manufacturing,0.1320052124100613,0.2250285662874392,1373.4001402442389,694.8540971892297,181.29598243086687,156.36202540792792,-0.5086992973116985,0.3711675291576692,False,722.1373097872554,665.9654285010874,-0.077785596346928,-0.077785596346928,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,10395757.568,0.65,15995.313,1.0,1.0,0.0,True,never_reciprocal,0
BFA,2011,2014,Services,0.2256907673288698,0.2697942309065915,1373.0361404347957,1119.0724541347463,309.88158270195794,301.91931381906966,-0.150192878798709,0.1244983253713556,False,722.1373097872554,665.9654285010874,-0.077785596346928,-0.077785596346928,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,10395757.568,0.65,15995.313,1.0,1.0,0.0,True,never_reciprocal,0
BFA,2014,2017,Agriculture,0.5051772028059692,0.4785117482842775,411.11136472612776,359.4962719395044,207.6840892740898,172.02318958745232,-0.1255501482451307,-0.0461572743662097,False,665.9654285010874,690.7072636390134,0.0371518311297529,0.0371518311297529,Burkina Faso,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,12400688.128,0.705,17585.978,1.0,1.0,0.0,True,never_reciprocal,0
