iso3,year0,year1,within,structural_change,Y0,Y1,actual_change,decomposed_change
KEN,2005,2006,-0.7970420884221574,0.9722753485608957,180.673741330996,180.84897459113472,0.1752332601387252,0.1752332601387383
KEN,2006,2007,6.648161442254435,2.273435298396332,180.84897459113472,189.7705713317855,8.921596740650784,8.921596740650767
KEN,2007,2008,-2.199871310927951,2.0959379315058766,189.7705713317855,189.6666379523634,-0.10393337942210223,-0.10393337942207426
KEN,2008,2009,3.160032545818279,3.4494030791091164,189.6666379523634,196.2760735772908,6.609435624927386,6.609435624927396
KEN,2009,2010,11.462499773098985,2.501701762678825,196.2760735772908,210.2402751130686,13.964201535777818,13.96420153577781
KEN,2010,2011,4.067688246298937,2.751714151620113,210.2402751130686,217.05967751098768,6.819402397919077,6.819402397919051
KEN,2011,2012,0.11076495999514399,2.5571724093956147,217.05967751098768,219.7276148803784,2.667937369390728,2.6679373693907587
KEN,2012,2013,-0.23084156739869854,0.034370580700100684,219.7276148803784,219.53114389367983,-0.19647098669858565,-0.19647098669859786
KEN,2013,2014,-4.211159105666219,5.723129168344488,219.53114389367983,221.0431139563581,1.511970062678273,1.5119700626782686
KEN,2014,2015,6.092957271405066,0.395402818010568,221.0431139563581,227.53147404577373,6.488360089415636,6.488360089415634
KEN,2015,2016,4.782277288237699,0.6120931317911072,227.53147404577373,232.92584446580253,5.3943704200287925,5.394370420028807
KEN,2016,2017,0.854931922274299,1.0531267898748191,232.92584446580253,234.83390317795164,1.9080587121491135,1.9080587121491182
LSO,1970,1971,0.5379991014164012,-0.19458451568952428,13.308967651998096,13.652382237724972,0.343414585726876,0.3434145857268769
LSO,1971,1972,0.06075362979860314,-0.19305408151634193,13.652382237724972,13.520081786007232,-0.13230045171773952,-0.1323004517177388
LSO,1972,1973,-1.357226144319002,-0.1656015621399049,13.520081786007232,11.997254079548327,-1.522827706458905,-1.5228277064589069
LSO,1973,1974,0.6982193189378824,-0.17589736692671407,11.997254079548327,12.519576031559495,0.5223219520111684,0.5223219520111683
LSO,1974,1975,-0.761140844484827,-0.15956374515166594,12.519576031559495,11.598871441923,-0.9207045896364949,-0.9207045896364929
LSO,1975,1976,0.18579241980918487,-0.16070096471506873,11.598871441923,11.623962897017117,0.02509145509411681,0.025091455094116144
LSO,1976,1977,-0.06800181033918824,0.22691152401290327,11.623962897017117,11.782872610690832,0.1589097136737152,0.15890971367371504
LSO,1977,1978,-0.407919083689688,0.22108314144730626,11.782872610690832,11.596036668448452,-0.18683594224238043,-0.18683594224238173
LSO,1978,1979,0.04193756688953473,0.22753800192029044,11.596036668448452,11.865512237258276,0.26947556880982404,0.26947556880982515
LSO,1979,1980,0.007114891616840846,0.23304764865621322,11.865512237258276,12.10567477753133,0.2401625402730545,0.24016254027305406
LSO,1980,1981,-0.4943432914861251,0.2875414059018398,12.10567477753133,11.898872891947047,-0.2068018855842837,-0.2068018855842853
LSO,1981,1982,-0.5584756878921115,0.3281664825137963,11.898872891947047,11.668563686568728,-0.2303092053783189,-0.23030920537831523
LSO,1982,1983,-0.4778197857805644,0.3013807989639002,11.668563686568728,11.492124699752065,-0.17643898681666315,-0.1764389868166642
LSO,1983,1984,-0.06419224531125456,0.2880130524173164,11.492124699752065,11.715945506858127,0.2238208071060619,0.22382080710606184
LSO,1984,1985,-0.35497530344889827,0.28015390766966586,11.715945506858127,11.641124111078895,-0.07482139577923164,-0.07482139577923241
LSO,1985,1986,-0.013593136269596406,0.31510159461175463,11.641124111078895,11.942632569421052,0.3015084583421572,0.3015084583421582
LSO,1986,1987,0.37165664984715435,-0.035042383436943825,11.942632569421052,12.279246835831263,0.3366142664102103,0.3366142664102105
LSO,1987,1988,1.3099025112092344,-0.03152385765138569,12.279246835831263,13.557625489389112,1.2783786535578496,1.2783786535578487
LSO,1988,1989,1.2563026158286439,-0.025801274278491167,13.557625489389112,14.788126830939264,1.230501341550152,1.2305013415501527
LSO,1989,1990,1.4733630083951876,-0.04827793724214052,14.788126830939264,16.21321190209231,1.4250850711530472,1.4250850711530472
LSO,1990,1991,1.704584194118202,-0.007345654204005542,16.21321190209231,17.910450442006507,1.6972385399141956,1.6972385399141965
LSO,1991,1992,1.6841778025277987,0.007318842186443381,17.910450442006507,19.60194708672075,1.6914966447142419,1.691496644714242
LSO,1992,1993,1.1832236187417369,0.022434229088315973,19.60194708672075,20.807604934550803,1.2056578478300537,1.2056578478300528
LSO,1993,1994,1.730305143606488,0.0008446353103370094,20.807604934550803,22.53875471346763,1.7311497789168264,1.731149778916825
LSO,1994,1995,1.2803782316672407,0.06296199993310159,22.53875471346763,23.88209494506797,1.3433402316003402,1.3433402316003424
LSO,1995,1996,1.7803981160935742,0.09023158842792656,23.88209494506797,25.752724649589474,1.8706297045215052,1.8706297045215008
