iso3,year0,year1,broad_sector,employment_share_0,employment_share_1,productivity_0,productivity_1,within,structural_change,short_series,country_productivity_0,country_productivity_1,country_actual_change,country_decomposed_change,country,country_exists_pre,depth_score_pre,agreement_type_pre,reciprocal_pre,fta_or_deeper_pre,nonreciprocal_only_pre,reciprocal_trade_share_pre,reciprocal_gdp_share_pre,gdp_african_pre,gdpcap_african_pre,pop_african_pre,wto_african_pre,gatt_african_pre,reciprocal_post,country_exists_post,treatment_status,reciprocal_interval
KEN,1995,2000,Services,0.2259149113744633,0.2703509877033911,449.84404865451546,363.0183649068072,-0.206961481744143,0.1726780217999027,False,181.76176011688705,173.4560932263023,-0.0456953480492461,-0.045695348049246,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,9046320.128,0.33,27418.077,1.0,1.0,0.0,True,never_reciprocal,0
KEN,2000,2005,Agriculture,0.6824390786338641,0.6534572306196131,65.57172560229598,72.28863966810427,0.1024361339298517,-0.046818298481578,False,173.4560932263023,180.67374212796267,0.0416108120932007,0.0416108120932006,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,12705350.656,0.406,31285.049,1.0,1.0,0.0,True,never_reciprocal,0
KEN,2000,2005,Manufacturing,0.0472099336627446,0.0561654526366523,647.4275109973288,571.4772567150892,-0.1447328098428484,0.1948641607192019,False,173.4560932263023,180.67374212796267,0.0416108120932007,0.0416108120932006,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,12705350.656,0.406,31285.049,1.0,1.0,0.0,True,never_reciprocal,0
KEN,2000,2005,Services,0.2703509877033911,0.2903773167437344,363.0183649068072,348.990511344577,0.1096634854825241,-0.0770928721755078,False,173.4560932263023,180.67374212796267,0.0416108120932007,0.0416108120932006,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,12705350.656,0.406,31285.049,1.0,1.0,0.0,True,never_reciprocal,0
KEN,2005,2010,Agriculture,0.6534572306196131,0.618291094877178,72.28863966810427,92.28894554546376,0.2766728765292311,-0.068704805105824,False,180.67374212796267,210.2402787951876,0.1636460080972051,0.1636460080972051,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,18737895.424,0.524,35785.717,1.0,1.0,1.0,True,switched_during_interval,1
KEN,2005,2010,Manufacturing,0.0561654526366523,0.0617783037828374,571.4772567150892,616.6781244823042,0.1022915033715445,0.0846418978801345,False,180.67374212796267,210.2402787951876,0.1636460080972051,0.1636460080972051,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,18737895.424,0.524,35785.717,1.0,1.0,1.0,True,switched_during_interval,1
KEN,2005,2010,Services,0.2903773167437344,0.3199306013399846,348.990511344577,359.70773953539464,0.0872319980709427,0.0483781222091813,False,180.67374212796267,210.2402787951876,0.1636460080972051,0.1636460080972051,Kenya,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,18737895.424,0.524,35785.717,1.0,1.0,1.0,True,switched_during_interval,1
KEN,2010,2015,Agriculture,0.618291094877178,0.5831117157819289,92.28894554546376,99.43797869277876,0.0774635911707672,-0.061305266158903,False,210.2402787951876,227.5314740457737,0.0822449216186156,0.0822449216186156,Kenya,True,2.0,2_reciprocal_pta,1.0,0.0,0.0,0.5603798215817131,0.3763033230185896,40000114.688,0.978,40909.195,1.0,1.0,1.0,True,always_reciprocal,1
KEN,2010,2015,Manufacturing,0.0617783037828374,0.0707378430812784,616.6781244823042,594.3797880930763,-0.0213385199387312,0.1249629581827962,False,210.2402787951876,227.5314740457737,0.0822449216186156,0.0822449216186156,Kenya,True,2.0,2_reciprocal_pta,1.0,0.0,0.0,0.5603798215817131,0.3763033230185896,40000114.688,0.978,40909.195,1.0,1.0,1.0,True,always_reciprocal,1
KEN,2010,2015,Services,0.3199306013399846,0.3461504411367927,359.70773953539464,368.3452751838097,0.0294603118774164,0.0784750379731726,False,210.2402787951876,227.5314740457737,0.0822449216186156,0.0822449216186156,Kenya,True,2.0,2_reciprocal_pta,1.0,0.0,0.0,0.5603798215817131,0.3763033230185896,40000114.688,0.978,40909.195,1.0,1.0,1.0,True,always_reciprocal,1
LSO,1970,1975,Agriculture,0.7203628195969979,0.7434798880340051,2.868214309721484,2.76288353649889,-0.0367234668851579,0.0309123804477259,False,13.308967155382147,11.598871778746362,-0.1284919676087879,-0.1284919676087877,Lesotho,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,68739.976,0.067,1032.24,0.0,0.0,0.0,True,never_reciprocal,0
LSO,1970,1975,Manufacturing,0.0604731478633266,0.0566321543200743,18.3510836531371,21.162844517323947,0.1485304577198514,-0.068557562456851,False,13.308967155382147,11.598871778746362,-0.1284919676087879,-0.1284919676087877,Lesotho,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,68739.976,0.067,1032.24,0.0,0.0,0.0,True,never_reciprocal,0
LSO,1970,1975,Services,0.2191640325396754,0.1998879576459205,46.23507238851264,41.754519488279534,-0.1246323947851286,-0.0517050320513169,False,13.308967155382147,11.598871778746362,-0.1284919676087879,-0.1284919676087877,Lesotho,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,68739.976,0.067,1032.24,0.0,0.0,0.0,True,never_reciprocal,0
LSO,1975,1980,Agriculture,0.7434798880340051,0.723262424636851,2.76288353649889,2.7763678189299945,0.0048805106161626,-0.0273257357312222,False,11.598871778746362,12.105675079026142,0.043694189395941,0.043694189395941,Lesotho,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,149558.944,0.13,1149.09,0.0,0.0,0.0,True,never_reciprocal,0
LSO,1975,1980,Manufacturing,0.0566321543200743,0.0570626834392988,21.162844517323947,22.99468627750006,0.1171035701854709,-0.0222839661178445,False,11.598871778746362,12.105675079026142,0.043694189395941,0.043694189395941,Lesotho,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,149558.944,0.13,1149.09,0.0,0.0,0.0,True,never_reciprocal,0
LSO,1975,1980,Services,0.1998879576459205,0.2196748919238502,41.754519488279534,39.99316297073583,-0.0332870182949915,0.0859177603232149,False,11.598871778746362,12.105675079026142,0.043694189395941,0.043694189395941,Lesotho,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,149558.944,0.13,1149.09,0.0,0.0,0.0,True,never_reciprocal,0
LSO,1980,1985,Agriculture,0.723262424636851,0.6742336683341164,2.7763678189299945,2.9580510921198844,0.0654391943139256,-0.0722243501584194,False,12.105675079026142,11.641123623760516,-0.0383746839588063,-0.0383746839588064,Lesotho,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,431542.688,0.33,1307.403,0.0,0.0,0.0,True,never_reciprocal,0
LSO,1980,1985,Manufacturing,0.0570626834392988,0.0621326708638701,22.99468627750006,17.58307420366794,-0.1606673561517409,-0.0067350402238999,False,12.105675079026142,11.641123623760516,-0.0383746839588063,-0.0383746839588064,Lesotho,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,431542.688,0.33,1307.403,0.0,0.0,0.0,True,never_reciprocal,0
LSO,1980,1985,Services,0.2196748919238502,0.2636336608020135,39.99316297073583,32.44738583011144,-0.1679269330708134,0.1416026949531587,False,12.105675079026142,11.641123623760516,-0.0383746839588063,-0.0383746839588064,Lesotho,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,431542.688,0.33,1307.403,0.0,0.0,0.0,True,never_reciprocal,0
LSO,1985,1990,Agriculture,0.6742336683341164,0.6662079390278197,2.9580510921198844,3.2335527157204047,0.0931361950895453,-0.0130121285968714,False,11.641123623760516,16.213211756496445,0.3927531637413344,0.3927531637413343,Lesotho,True,1.0,1_nonreciprocal,0.0,0.0,1.0,0.0,0.0,247680.8,0.169,1467.856,0.0,0.0,0.0,True,never_reciprocal,0
