iso3,year0,year1,broad_sector,employment_share_0,employment_share_1,productivity_0,productivity_1,within,structural_change
UGA,2016,2017,Agriculture,0.7138512922202997,0.7106996857143181,1142.340796899205,1122.127401154153,-14.429358672765778,-3.536504018017737
UGA,2016,2017,Manufacturing,0.07031282246808306,0.07148021174261687,8328.783156119389,8097.265346345008,-16.278670656865476,9.452660718377516
UGA,2016,2017,Services,0.21583588531161713,0.217820102543065,9287.985843429016,9346.808612625004,12.69606446589685,18.546098708215904
ZAF,1960,1961,Agriculture,0.3146294023876621,0.3029495935175673,16.391487133571374,17.37568881280184,0.30965878616521514,-0.20294472431977068
ZAF,1960,1961,Manufacturing,0.27022089923417525,0.2732142018422506,213.65238599922063,217.76417778684728,1.1110920743161723,0.6518340813147527
ZAF,1960,1961,Services,0.4151496983781625,0.42383620464018196,146.68548193274276,146.57666378886475,-0.04517581960902782,1.2732391078678924
ZAF,1961,1962,Agriculture,0.3029495935175673,0.29243094579281526,17.37568881280184,18.767543867972883,0.4216619231994385,-0.19740918260603685
ZAF,1961,1962,Manufacturing,0.2732142018422506,0.27470070595133117,217.76417778684728,229.3661136105875,3.1698136359081945,0.3409536703659809
ZAF,1961,1962,Services,0.42383620464018196,0.4328683482558535,146.57666378886475,149.1237182669632,1.0795339030090305,1.3469068398901565
ZAF,1962,1963,Agriculture,0.29243094579281526,0.28143178376648015,18.767543867972883,19.80429958538269,0.3031794549982587,-0.2178306999577054
ZAF,1962,1963,Manufacturing,0.27470070595133117,0.2798618396645684,229.3661136105875,237.83969941988016,2.327700003751879,1.2275224910221532
ZAF,1962,1963,Services,0.4328683482558535,0.43870637656895145,149.1237182669632,152.1633735921668,1.3157705798879904,0.8883340832475679
ZAF,1963,1964,Agriculture,0.28143178376648015,0.2676751913540621,19.80429958538269,17.93166823354324,-0.5270179816852121,-0.2466786511635588
ZAF,1963,1964,Manufacturing,0.2798618396645684,0.29260407350755224,237.83969941988016,243.76603165979046,1.6585542431247373,3.1061237783852524
ZAF,1963,1964,Services,0.43870637656895145,0.43972073513838583,152.1633735921668,156.29858551961917,1.8141438410373347,0.15854280961229825
ZAF,1964,1965,Agriculture,0.2676751913540621,0.2545903213804907,17.93166823354324,18.556820761896923,0.16733782265254818,-0.2428135867922912
ZAF,1964,1965,Manufacturing,0.29260407350755224,0.30224888770951236,243.76603165979046,242.32657385979783,-0.4211912159200612,2.3371947810753153
ZAF,1964,1965,Services,0.43972073513838583,0.4431607909099971,156.29858551961917,160.29295577461838,1.7564074249431547,0.5514167076611064
ZAF,1965,1966,Agriculture,0.2545903213804907,0.24416675612335118,18.556820761896923,20.495137703067314,0.49347673298981976,-0.21363240530198288
ZAF,1965,1966,Manufacturing,0.30224888770951236,0.304580046267886,242.32657385979783,245.86883650289295,1.0706449438504555,0.5731592424510844
ZAF,1965,1966,Services,0.4431607909099971,0.4512531976087628,160.29295577461838,160.27066193998365,-0.009879753389140732,1.2969753782987379
ZAF,1966,1967,Agriculture,0.24416675612335118,0.23292408505807394,20.495137703067314,26.264379310105266,1.4086570084823262,-0.29528177731718663
